"source_genesymbol","target_genesymbol","interact"
"MDM2","ATF3",0
"ATF4","ATF3",0
"STAT1","ATF3",0
"HDAC1","ATF3",0
"ATF3","JUND",0
"CREBBP","ATF3",0
"PDX1","ATF3",0
"ACTB","GAPDH",0
"ACTB","GSN",0
"ACTB","MAPT",0
"ACTB","LMNA",0
"ACTB","PLCG1",0
"EEF1A1","ACTB",0
"HNRNPAB","ACTB",0
"SPTAN1","ACTB",0
"FHL3","ACTB",0
"ACTB","CCT4",0
"COTL1","ACTB",0
"ACTB","SYNJ2BP",0
"ACTB","PTN",0
"ACTB","CAPZA1",0
"ACTB","EMD",0
"ACTB","CORO1A",0
"GNA12","ACTB",0
"ACTB","ENC1",0
"ACTB","RAB4A",0
"SCN10A","ACTB",0
"ACTB","CTGF",0
"ACTB","PROM1",0
"ACTB","PCYT1A",0
"ACTB","PLG",0
"MYO18B","ACTB",0
"ACTB","CLNS1A",0
"ACTB","HIP1R",0
"ACTB","S100A11",0
"CNN2","ACTB",0
"VSNL1","ACTB",0
"NRAP","ACTB",0
"PFDN4","ACTB",0
"MYO1E","ACTB",0
"ACTB","HSD17B4",0
"ACTB","LMOD1",0
"RUNX2","TP73",0
"SMAD5","RUNX2",0
"RUNX2","XRCC5",0
"RUNX2","HDAC1",0
"STUB1","RUNX2",0
"RUNX2","VDR",0
"RUNX2","PIN1",0
"RUNX2","ETS1",0
"RUNX2","TLE1",0
"CBFB","RUNX2",0
"RUNX2","MSX2",0
"HIVEP3","RUNX2",0
"LHB","CGA",0
"FSHB","CGA",0
"TSHB","CGA",0
"MYO6","FUS",0
"RELA","FUS",0
"FUS","SPI1",0
"TARDBP","FUS",0
"DROSHA","FUS",0
"FUS","SRSF10",0
"TNPO1","FUS",0
"ATAD1","GOSR1",0
"GLRX2","TXNRD1",0
"KCNQ1","KCNE1",0
"NEDD4L","KCNQ1",0
"AKAP9","KCNQ1",0
"TPI1","CFL1",0
"UBE2I","XBP1",0
"HIF1A","XBP1",0
"XBP1","FOS",0
"HSP90AB1","ESR1",0
"TRIM8","HSP90AB1",0
"MAPT","HSP90AB1",0
"HTT","HSP90AB1",0
"HSP90AB1","NR3C1",0
"HSP90AB1","CHEK1",0
"NOTCH1","HSP90AB1",0
"PTGES3","HSP90AB1",0
"NELFE","HSP90AB1",0
"CHORDC1","HSP90AB1",0
"PPID","HSP90AB1",0
"USP50","HSP90AB1",0
"IRF8","COPS2",0
"SIN3A","COPS2",0
"COPS2","ABCA1",0
"MAP3K10","COPS2",0
"NIF3L1","COPS2",0
"GADD45B","MAP2K7",0
"DHX9","TOP2A",0
"PRMT1","DHX9",0
"DHX9","YBX1",0
"DHX9","BRCA1",0
"DHX9","POLR2A",0
"DHX9","RELA",0
